D B Malls Private Limited, Real Estate Development Term Loan Facilities #,D C Metals Trading Companies & Distributors Cash Credit Limit CRISIL D,,,,,,,,,,,
Dabur India Limited, Personal Products Non Convertible Debenture CRISIL AAA Stable,Long-Term Bank Facility CRISIL AAA Stable,Bank Guarantee limit CRISIL A1+,Commercial Paper CRISIL A1+,,,,,,,,,
Dabwali Transport Company Limited, Road & Rail Proposed Long-Term Bank Facility #,Term Loan Facilities #,,,,,,,,,,,
Dacc International Private Limited, Metals & Mining Cash Credit Limit CRISIL B+ Stable,Inland/Import Letter of Credit CRISIL A4,,,,,,,,,,,
Dacss Granites Private Limited, Building Products Proposed Long-Term Bank Facility CRISIL B+ Stable,Long Term Bank Loan CRISIL B+ Stable,Bank Guarantee limit CRISIL A4,Packing Credits CRISIL A4,Letter of Credit Limit CRISIL A4,Dada Motors Specialty Retail Cash Credit Limit CRISIL BB Stable,,,,,,,
Dada Motors Private Limited, Specialty Retail Cash Credit Limit CRISIL B Stable,,,,,,,,,,,,
Dadheech Infrastructures Private Limited, Construction & Engineering Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,
Dadi Impex Private Limited, Distributors Proposed Long-Term Bank Facility CRISIL BB+ Stable,Export Packing Credit limits CRISIL A4+,,,,,,,,,,,
Dadiji Steels Limited, Metals & Mining Proposed Long-Term Bank Facility CRISIL BBB- Stable,Term Loan Facilities CRISIL BBB- Stable,Cash Credit Limit CRISIL BBB- Stable,Letter of Credit Limit CRISIL A3,Standby Line Of Credit CRISIL A3,Bank Guarantee limit CRISIL A3,,,,,,,
Dadra Nagar Haveli Sahakari Khand Udyog Mandali Limited, Food Products Cash Credit Limit #,Term Loan Facilities #,,,,,,,,,,,
Dadu Pipes Private Limited, Machinery Cash Credit Limit CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,
Dadu Steel and Power Limited, Metals & Mining Proposed Long-Term Bank Facility #,Term Loan Facilities #,Cash Credit Limit #,,,,,,,,,,
Daejung Moparts Private Limited, Auto Components Proposed Cash Credit Limit #,Proposed Term Loan #,Cash Credit Limit #,Letter Of Guarantee #,Export Packing Credit limits #,Letter of Credit Limit #,,,,,,,
Daewon India Auto Parts Private Limited, Auto Components Working Capital Demand Loan CRISIL B+ Stable,Foreign Currency Demand Loan CRISIL B+ Stable,,,,,,,,,,,
Daga Global Chemicals Limited, Distributors Over Draft CRISIL BBB- Stable,Proposed Long-Term Bank Facility CRISIL BBB- Stable,Bank Guarantee limit CRISIL A3,Bill Discounting Facility CRISIL A3,Letter of Credit Limit CRISIL A3,Cheque Discounting Facility CRISIL A3,Daily Foods Food Products Term Loan Facilities #,Over Draft #,,,,,
Daimler India Commercial Vehicles Private Limited, Automobiles Proposed Long-Term Bank Facility CRISIL AA Stable,Short Term Debt (Including Commercial Paper)(ST) CRISIL A1+,Proposed Short Term Bank Facility CRISIL A1+,Dainik Savera News AND Media Network Media Proposed Long-Term Bank Facility CRISIL B+ Stable,Term Loan Facilities CRISIL B+ Stable,Cash Credit Limit CRISIL B+ Stable,Letter of Credit Limit CRISIL A4,,,,,,
Dairy Classic Ice Creams Private Limited, Food Products Cash Credit Limit CRISIL BBB- Stable,Long Term Bank Loan CRISIL BBB- Stable,,,,,,,,,,,
Dairy Ice Cream and Frozen Foods Private Limited, Food Products Cash Credit Limit CRISIL B- Stable,Long Term Bank Loan CRISIL B- Stable,Daisy Industries Containers & Packaging Cash Credit Limit CRISIL B+ Stable,Term Loan Facilities CRISIL B+ Stable,,,,,,,,,
Dake Hospitals Private Limited, Health Care Providers & Services Long Term Bank Loan CRISIL D,Proposed Long-Term Bank Facility CRISIL D,Dakshin Exports Trading Companies & Distributors Long Term Bank Loan CRISIL B+ Stable,Packing Credit in Foreign Currency CRISIL A4,,,,,,,,,
Dakshin Foundry Private Limited, Machinery Term Loan Facilities CRISIL B+ Stable,Proposed Long-Term Bank Facility CRISIL B+ Stable,Cash Credit Limit CRISIL B+ Stable,Dakshineswar Rice Mill Food Products Cash Credit Limit CRISIL B+ Stable,Term Loan Facilities CRISIL B+ Stable,,,,,,,,
Dakshineswari Cold Storage Private Limited, Commercial Services & Supplies Proposed Long-Term Bank Facility CRISIL B Stable,Cash Credit Limit CRISIL B Stable,Working Capital Loan (LT) CRISIL B Stable,Bank Guarantee limit CRISIL A4,,,,,,,,,
Dalas Biotech Limited, Pharmaceuticals Working Capital Term Loan CRISIL BB+ Stable,Term Loan Facilities CRISIL BB+ Stable,Cash Credit Limit CRISIL BB+ Stable,Letter of Credit Limit CRISIL A4+,Dalip Singh Rathore Construction & Engineering Cash Credit Limit CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,,,,,,,
Dalkan Ship Breaking Limited, Marine Cash Credit Limit CRISIL BB Stable,Letter of Credit Limit CRISIL A4+,,,,,,,,,,,
Dalmia Laminators Limited, Containers & Packaging Term Loan Facilities CRISIL BBB- Stable,Proposed Long-Term Bank Facility CRISIL BBB- Stable,Cash Credit Limit CRISIL BBB- Stable,Letter of Credit Limit CRISIL A3,Bank Guarantee limit CRISIL A3,,,,,,,,
Dalmia Tea Plantation and Industries Limited, Food Products Term Loan Facilities CRISIL BBB- Stable,Cash Credit Limit CRISIL BBB- Stable,Proposed Long-Term Bank Facility CRISIL BBB- Stable,Bank Guarantee limit CRISIL A3,Dalson Motors Specialty Retail Cash Credit Limit #,Proposed Long-Term Bank Facility #,,,,,,,
Daman Hospitality Private Limited, Hotels Restaurants & Leisure Rupee Term Loans #,,,,,,,,,,,,
Daman Polythread Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL BBB Stable,Term Loan Facilities CRISIL BBB Stable,Bank Guarantee limit CRISIL A3+,Inland/Import Letter of Credit CRISIL A3+,,,,,,,,,
Damara Gold Private Limited, Textiles- Apparel & Luxury Goods Rupee Term Loans CRISIL BBB Stable,Proposed Bank Guarantee ? Long-Term CRISIL BBB Stable,Bank Guarantee limit CRISIL A3+,Damati Plastics Containers & Packaging Export Packing Credit #,Foreign Letter of Credit (LT) #,Cash Credit Limit #,Proposed Long-Term Bank Facility #,Term Loan Facilities #,Bank Guarantee limit #,Letter of Credit Limit #,,,
Damcosoft Private Limited, Software Term Loan Facilities CRISIL B+ Stable,Cash Credit Limit CRISIL B+ Stable,Proposed Long-Term Bank Facility CRISIL B+ Stable,,,,,,,,,,
Damodar Developers Private Limited, Distributors Cash Credit Limit #,,,,,,,,,,,,
