C A V Cotton Mills Private Limited, Textiles- Apparel & Luxury Goods Proposed Long-Term Bank Facility #,Cash Credit Limit #,Long Term Bank Loan #,,,,,,,,,,,,
CapacitE Infraprojects Private Limited, Construction & Engineering Proposed Long-Term Bank Facility #,Cash Credit Limit #,Term Loan Facilities #,Letter of Credit Limit #,Bank Guarantee limit #,,,,,,,,,,
Capacite Structures Limited, Machinery Corporate Loan #,Long Term Bank Loan #,Proposed Long-Term Bank Facility #,Cash Credit Limit #,Letter of Credit and Bank Guarantee #,Bill Discounting Facility #,Factoring/ Forfaiting #,,,,,,,,
Caparo Financial Solutions Limited, Broking Company Proposed Long-Term Bank Facility CRISIL BBB- Stable,Long-Term Bank Facility CRISIL BBB- Stable,,,,,,,,,,,,,
Capital Agro Export Private Limited, Food Products Cash Credit Limit CRISIL B Stable,Proposed Long-Term Bank Facility CRISIL B Stable,,,,,,,,,,,,,
Capital Electech Private Limited, Electrical Equipment Cash Credit Limit CRISIL BB+ Stable,Proposed Cash Credit Limit CRISIL BB+ Stable,Proposed Bank Guarantee ? Long-Term CRISIL BB+ Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,
Capital Electricals Limited, Electrical Equipment Cash Credit Limit CRISIL B+ Stable,Letter of Credit Limit CRISIL A4,Bank Guarantee limit CRISIL A4,Capital Enterprises Construction & Engineering Cash Credit Limit #,Bank Guarantee limit #,Proposed Short Term Bank Facility #,,,,,,,,,
Capital Impex Private Limited, Metals & Mining Export Packing Credit #,,,,,,,,,,,,,,
Capital Meters Limited, Electrical Equipment Cash Credit Limit #,Proposed Short Term Bank Facility #,Bank Guarantee limit #,Letter of Credit Limit #,,,,,,,,,,,
Capital Overseas Private Limited, Food Products Cash Credit Limit #,,,,,,,,,,,,,,
Capital Power Infrastructure Limited, Electrical Equipment Cash Credit Limit CRISIL B+ Stable,Bank Guarantee limit CRISIL A4,Letter of Credit Limit CRISIL A4,,,,,,,,,,,,
Capital Power Systems Limited, Electrical Equipment Cash Credit Limit CRISIL B+ Stable,Letter of Credit Limit CRISIL A4,Bank Guarantee limit CRISIL A4,Capithan Exporting Company Food Products Bill Discounting Facility CRISIL A4,Packing Credits CRISIL A4,,,,,,,,,,
Capitol Hill Hotels Private Limited, Hotels Restaurants & Leisure Term Loan Facilities CRISIL B- Stable,,,,,,,,,,,,,,
